"DF.L1.C1","label"
-0.075673817221384,"2"
0.0811106982049112,"1"
-0.23140373990184,"1"
-0.161175560676972,"2"
-0.136496029530561,"2"
-0.0280613244472936,"1"
0.0300469967028896,"2"
-0.0794374520866574,"1"
-0.00207650802622905,"1"
-0.33475658756935,"1"
-0.224426197615443,"1"
0.0976746747024517,"1"
0.0538797872082795,"1"
0.0527364457695253,"2"
0.101550518775881,"2"
-0.134594509559922,"1"
-0.059858225426507,"1"
-0.109457370006333,"1"
-0.0454961510473779,"2"
0.00762030901218347,"2"
-0.0721024610027501,"1"
0.085782214616714,"1"
-0.0558158855178248,"1"
-0.0525870377764017,"2"
0.0807111950548219,"1"
0.0450248053210394,"1"
-0.0291060907662137,"1"
0.150882495853328,"2"
-0.144085744450271,"1"
0.0119334458985917,"2"
0.0626572040681299,"1"
0.0111697182065993,"1"
-0.129612880467739,"2"
0.039351153610653,"2"
-0.120988025634152,"1"
0.155004249620595,"2"
-0.133450057457873,"1"
-0.165553817181121,"1"
0.160969547479241,"2"
0.0716399910338096,"2"
-0.0330713969299203,"1"
0.0270041847566925,"1"
0.177240191466954,"2"
-0.068094524593971,"1"
-0.0106240951160919,"2"
-0.0600338123090225,"1"
-0.00753889761537208,"2"
-0.205746866411588,"1"
-0.035020271366204,"1"
-0.136136576916709,"1"
0.0928780872946245,"1"
0.0472652099685452,"2"
-0.0848477942244859,"1"
-0.00937015238254157,"2"
0.00788974974105061,"1"
-0.0154326561284177,"2"
-0.231350662437018,"1"
-0.0867995706518647,"2"
-0.110664360585736,"1"
0.127673219457541,"1"
-0.0919413352048037,"2"
-0.145192208707751,"2"
-0.00973048133863474,"2"
-0.0117369809515289,"2"
-0.166285890979516,"1"
-0.0597144744349729,"1"
0.106517334636711,"2"
-0.179868319536246,"1"
-0.0682529124023663,"1"
-0.249713625724116,"2"
-0.0692469569674838,"1"
-0.265616732770183,"2"
-0.221720979324359,"1"
-0.17430752674503,"1"
-0.0740689179030243,"1"
-0.148025055410071,"2"
0.0412798330922248,"2"
0.0278461132042531,"1"
0.0779317303052492,"1"
-0.00362735110784196,"2"
0.0712545576955697,"2"
0.103603945559843,"1"
0.190745538368885,"1"
0.08851934098458,"2"
0.0356673494915908,"2"
-0.0357321661774137,"1"
0.0437907438529025,"1"
0.0907677543076972,"1"
0.00107977198681475,"1"
0.0433916589372854,"1"
0.157503356212271,"2"
0.126531207508126,"2"
-0.026457246409308,"2"
-0.225463421204864,"1"
0.0671725321323544,"1"
0.143251297988942,"2"
0.106383092502482,"2"
0.310941325869161,"2"
0.205995092272926,"1"
-0.0580205661444839,"1"
0.0579523779366894,"1"
-0.0367987410483375,"1"
0.0699073805859568,"2"
0.166722611763615,"1"
-0.177138696932522,"2"
0.086293923628166,"2"
-0.191785346223731,"2"
0.0825174726984251,"1"
0.00767602479060492,"2"
-0.119911725341687,"2"
0.256347227713569,"1"
-0.0253041096824276,"1"
-0.0108592733085211,"2"
0.00701451438858236,"2"
-0.0176248908934418,"2"
0.0352400331951779,"2"
0.18091783488589,"1"
0.130083120116585,"1"
-0.348253182152474,"1"
0.0854779233547799,"2"
0.0939458096535665,"2"
0.144977075572276,"1"
0.202908359548855,"2"
0.162540289206713,"2"
0.145063615305987,"1"
0.216446190354467,"2"
0.130508918497813,"2"
0.0732574890681992,"1"
0.0342454690759212,"2"
-0.0152551533178205,"2"
0.125110143282418,"2"
0.18193859182987,"2"
-0.074573183168555,"2"
0.102398248942057,"1"
-0.0577385666184089,"1"
-0.0521591900158116,"1"
0.134318309005841,"2"
-0.093501761698624,"2"
-0.0393938109335439,"1"
0.112577254769674,"1"
0.0793720988629262,"1"
0.112117746698769,"1"
0.226033277814967,"1"
0.225343156237812,"1"
0.0947790083711217,"1"
-0.0935491858183108,"2"
0.139070472480972,"2"
-0.0356909488640804,"2"
0.204544653982987,"2"
0.0800259890568638,"2"
0.055114525984384,"1"
0.232930015772104,"1"
0.0915359496291472,"2"
0.242125915800973,"1"
0.264943118068616,"2"
0.124743610893143,"1"
0.0673082276672264,"2"
0.143440115180933,"1"
0.0206153114960494,"1"
0.227860141025266,"2"
0.122621992610964,"1"
0.294478604466268,"2"
0.117849684337126,"1"
-0.0367189522209312,"2"
-0.0346865475969353,"1"
0.111279216959286,"1"
0.156631801847207,"2"
0.0603911454715158,"1"
0.0702272609451975,"2"
-0.200608431817589,"2"
0.0849683643029739,"2"
0.174640939146686,"2"
-0.0523377266974407,"2"
0.220585919011765,"1"
0.235609917070613,"1"
0.252617237884216,"1"
0.136364897781289,"1"
0.0663809289640617,"1"
0.110391346523541,"2"
0.0073399694181151,"2"
0.114626896143146,"1"
0.0268122387402236,"1"
0.028662124534621,"1"
-0.183020869401508,"1"
0.0815543536252848,"1"
-0.0324534421437361,"2"
0.32339276072548,"2"
0.217533649962567,"1"
0.105592947108916,"2"
0.0565083557403685,"2"
0.00349985336095715,"2"
0.276040153887615,"1"
0.055518491053406,"1"
-0.159257285815823,"2"
-0.151097018887236,"2"
-0.204867674546374,"2"
0.0864737563374582,"2"
-0.168851269170258,"1"
-0.0273441212878964,"2"
-0.114692401748616,"2"
0.300396228944354,"2"
-0.0723931500160455,"2"
0.200820638686742,"1"
0.0958251316207017,"2"
-0.158151846407855,"2"
0.0753353599007536,"2"
0.10837795069861,"1"
-0.0851256600390737,"2"
0.119426935852658,"1"
0.00507169973162624,"1"
-0.128550305778303,"1"
-0.211669875829741,"1"
0.0703477633770417,"2"
0.022391203235454,"2"
0.0886308840144454,"2"
-0.353129512166923,"1"
-0.203026553295322,"2"
-0.027478497974174,"2"
-0.0211129351525763,"2"
0.220580448019618,"2"
0.129917472197645,"2"
-0.153608380039914,"1"
0.20886899482516,"2"
0.0699677603156766,"1"
0.108664099491652,"1"
-0.0811145309686723,"1"
0.264449125484585,"2"
0.0681700527975593,"1"
0.0246552405218545,"2"
0.116512270372498,"1"
0.229305222127731,"2"
0.26294496621028,"1"
0.138304095614709,"2"
0.0269917252514995,"1"
-0.0295625027611932,"2"
-0.0139438978369666,"2"
-0.0304555076468929,"2"
0.176283035672986,"1"
-0.135940082624953,"2"
0.0845948155135788,"2"
-0.162365847825491,"2"
-0.0670234298271013,"2"
0.0604191110269717,"2"
-0.00468180381114536,"1"
-0.109675985052869,"1"
-0.0792556186213256,"1"
0.0988220091264332,"1"
0.00348204223325199,"2"
0.0298123743287864,"2"
-0.0113951935963326,"2"
0.00821540375192664,"2"
0.182301729065184,"1"
-0.0229015131768937,"2"
-0.0832853726475657,"1"
-0.187022664311155,"2"
0.261724480236636,"2"
0.173522489854624,"2"
-0.117615954357055,"2"
0.0110432916745442,"1"
0.039127395566506,"1"
0.223308924106998,"2"
0.0231910295388701,"1"
0.110264861887201,"1"
-0.00622643522702915,"2"
0.071981263965881,"2"
-0.0892255375511521,"2"
0.00099087271144549,"2"
0.0409955726281018,"2"
0.119939998610151,"2"
0.0880575959836549,"1"
0.0977802195438476,"2"
0.0648927530985094,"1"
0.0334258365645295,"1"
0.0701166210392051,"2"
-0.0261095000412499,"2"
0.0238552856832687,"1"
0.187581698499504,"1"
0.114785845718609,"2"
0.0953458402956714,"2"
0.0676471787958877,"2"
