"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","label"
-0.0216560706149116,-0.331704836594616,-0.695345648199574,-0.274501712242413,0.0174563336247207,0.980774859253659,0.531982420105126,0.8031521726568,0.442422595155251,0.610791598939078,1
-0.136346367987361,-0.546835107834351,-0.80304494568432,-0.85432728499516,-0.403488333299117,0.997548915979747,0.642933137786988,0.974715974505212,0.570996481491947,0.570248350642048,1
0.532668081227027,0.515001542724005,0.675796381570831,-0.977427068053899,-0.878930421408309,0.991867398638104,-0.252197452927549,0.990583825137503,0.322473869052709,-0.391976355002123,1
0.497559593151781,0.0352570865060288,-0.573151801116772,-0.477347236110221,-0.0952020389544252,0.982028100577153,0.505827922718219,0.917618871551457,0.424319630558556,0.518180583647019,1
0.723910610065665,-0.63584543731569,-0.482814143559202,-0.682489417352461,0.0386310013050646,0.976609077978093,0.7161619735888,0.882849397019118,0.452341171598849,0.836321200999295,1
-0.993842343949015,0.986989173449316,0.754861829444961,-0.69884242897915,-0.99871656862946,0.997202081190704,-0.673692432985635,0.984848991313916,0.391738673279008,-0.913171454500714,1
-0.993538384346801,0.986359285199877,0.795459219806976,-0.807082620910586,-0.998967748003488,0.997684852841275,-0.65157904952361,0.98706947966147,0.418542075642725,-0.917237105060999,1
-0.997962474858844,0.993581709997158,0.811125148027871,-0.890992104777411,-0.999651103822268,0.998054260837721,-0.631226324716762,0.988770628935736,0.441344960143508,-0.920957874979966,1
-0.997023940678817,0.986918127828473,0.842276462325277,-0.957331469544127,-0.999254259701525,0.998248228767222,-0.616901739327969,0.989706718186926,0.456156174151852,-0.922668108277966,1
-0.998660433183312,0.996492036214088,0.912101561254207,-0.840944951871615,-0.999820597260004,0.997542355514797,-0.672115358814721,0.986585109218586,0.414302438948312,-0.924132197245643,1
-0.996232830858044,0.984202365955684,0.576916589892752,-0.967868423833569,-0.99890237768205,0.998763904426118,-0.535773285636091,0.992008998285318,0.490536161187603,-0.911790957363187,1
-0.99678657021143,0.973014157954878,0.25185974349254,-0.924291601091819,-0.998308453420027,0.999085176097253,-0.443709210297748,0.99348086242062,0.516156504365701,-0.893771930222135,1
-0.978779079962739,0.853977959318604,-0.385088715882685,-0.917061265614403,-0.98063275170575,0.999542141739294,-0.160086882359954,0.995835932073874,0.580965414544383,-0.823651544624059,1
-0.996164544492553,0.991189973159469,0.758175388500725,-0.114136870011087,-0.999408138992182,0.989817601654018,-0.810525571785429,0.957072972754602,0.203411221484305,-0.899425485220466,1
-0.996259380992401,0.99329053796096,0.884819956548724,-0.8641080481101,-0.999538461004631,0.997734151859815,-0.657991022524425,0.987417812311042,0.424243207813333,-0.923033782892298,1
-0.96895506587946,0.987372766699941,0.784620224366535,0.954852849452347,-0.989127959338391,0.88867477466467,-0.934538283159,0.726813734341824,-0.177118837790634,-0.863162064948679,1
-0.932908873043605,0.995169044754829,0.875426153262194,0.998300854715968,-0.984134298188916,0.859536604984733,-0.941400796990104,0.687469441196558,-0.209020026013367,-0.864253581942018,1
-0.974918567147572,0.997459880741729,0.932586987819171,0.983724849674579,-0.997434446484983,0.862383170139373,-0.944729391959223,0.687304749817122,-0.208994350320119,-0.87466157665691,1
-0.911336967273,0.989651235522657,0.702664541368726,0.999631020513659,-0.981346086021901,0.88173850727203,-0.931586464612865,0.724659785362131,-0.186433596063742,-0.848320365045078,1
-0.895676664726448,0.988559129894801,0.797344530497899,-0.494427312027864,-0.979743113768714,0.994768997435345,-0.726618248560134,0.976876219815706,0.313868686873529,-0.900792559749091,1
-0.952548926025416,0.979151512342934,0.45078784845391,0.999714440088129,-0.95308763809022,0.911616710563413,-0.913522526839076,0.753852752727693,-0.140049419217413,-0.830333099642197,1
